id	filename	md5	size	state
03b86f9c-97db-4b38-b514-96a73bb5276d	TCGA-HE-7128-01Z-00-DX1.29FBDF7D-24CE-44F8-B72F-1A403042F8E2.svs	acbed7142416d550d510d1dc3cc7dbc3	595890682	validated
09f62988-5a9b-4d1b-976b-123c0017122e	TCGA-NH-A8F7-01Z-00-DX1.5CB8911D-07C3-4EF2-A97D-A62B441CF79E.svs	dd165271e7d3ad1aae9978dfbade8417	1149778127	validated
2dbd1a1d-91e9-428d-b9dd-0161cbda436d	TCGA-G9-6362-01Z-00-DX1.01f380d7-a7cc-4a0f-a003-a087858701af.svs	3dedde13dae7e56c7809045e29fe37e5	1520819833	validated
2e7245ca-09cd-4b3c-9f21-a6cfbb90b1e1	TCGA-G2-A2EK-01Z-00-DX1.1F826341-0877-46E0-8DB7-9D01E8874614.svs	01a0554253d0f12902afbd732673db7e	1570615845	validated
33dccb57-91b7-4a7c-8cd6-d872971c3cc9	TCGA-38-6178-01Z-00-DX1.5932337D-BA2B-455D-9E34-22961EFA2170.svs	536cbc93b1c8c015a5502544a66f3a22	755655235	validated
3479642c-13d1-4283-a384-885dafd7ce11	TCGA-G9-6356-01Z-00-DX1.e9631d5e-7454-4dab-b3f8-f157f0ed3715.svs	d9eda9f2b1ea1fbdb1a0d6eb03289e85	930950935	validated
40146d2a-5f02-4dfe-9e42-e92174d06d21	TCGA-DK-A2I6-01Z-00-DX1.7BF86D3B-D4F7-47F9-B021-7FD6B673A238.svs	a4d22d4164ea6676bb07e4a95ec35a3d	1780414109	validated
4103ee9e-00de-4932-a09c-5059eb9230c4	TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950.svs	98bc0d31e7345bae4e0cbdf9a540b7b0	588013275	validated
419f246a-327c-4188-9eb6-2ad698ff83b3	TCGA-KB-A93J-01Z-00-DX1.CF87A80C-609E-4064-9C59-BD2A211A886A.svs	a1d2194bf4dc38dfc552eb744b5f1fa4	80548958	validated
518ab2fc-f670-47e1-bd7e-571a4d148628	TCGA-B0-5711-01Z-00-DX1.6839921f-ec08-4e94-8bf9-4b5a4fcdda45.svs	1718b27711347187bf49cd7757183d1d	1041743063	validated
5ac05010-5a2d-4ebe-b59b-2ee93db00052	TCGA-AY-A8YK-01Z-00-DX1.89E3C546-0425-449B-A6FB-1C35168EA7EB.svs	407b2b5b464be11d7a334377ad4fab92	605800784	validated
6191383f-8797-46a2-a329-5343d9c6ea9a	TCGA-HE-7129-01Z-00-DX1.9E4D3873-8E71-4602-8698-D7CBE75E7FA6.svs	4a547ff38a4fed2bd80e6db6b1c91721	482815180	validated
66566c3d-d04b-4bfe-b195-db286e4c01e5	TCGA-G9-6336-01Z-00-DX1.ec538aa0-4ecf-412c-9a5f-4babd4201307.svs	e8b8364563e05a9b91f9e1f81b114a0f	1157646625	validated
